Block,Option,Default Value,Description
Side Market Triggers,SIDE_HIGH , 60,Side Market Enter values
Side Market Triggers,SIDE_LOW , 40,
Side Market Triggers,SIDE_CLOSE_HIGH , 70,Side Market Exit values
Side Market Triggers,SIDE_CLOSE_LOW , 35,
Side Market Triggers,SIDE_ADXR,26,Side Market Enter values
Side Market Triggers,SIDE_CLOSE_ADXR,30,Side Market Exit values
Additional non core functions,AUTO_DISABLE , False,Auto Disable pair when position closes
Additional non core functions,DCA_FORCE , False,Force DCA ifnoring eerything but LIQUIDATION LIMIT
Additional non core functions,PRE_ORDER , False,Use Pre Order Gap
Additional non core functions,PRE_ORDER_SR , False,Use Pre Order Gap to ask like SR (not replacing ROE close)
Additional non core functions,ROE_PRE_ORDER_SR , 0.5,ROE below which we allo Pre Order to close positions
Additional non core functions,SR_TRAIL , False,Use SR to trail position (ROE close will not be used)
Additional non core functions,SR_SWITCH , True,Enable and Disable SR
Additional non core functions,SR_RATE_CHANGE , False,Sr rate changing to vakue below on side market and back to 1 if not side. Usefull for KF
Additional non core functions,SR_RATIO_TRAIL , 1.40,SR_RATE on Side if enabled above
Additional non core functions,SR_RATIO_COMMON , 1,SR_RATE if enabled above
Additional non core functions,UTA_SKIP , False,ignore UTA
Additional non core functions,TL_AC_PRICE , False,Use improved Auto TL formula which take BTC price into consideration
Additional non core functions,PDP_NO_ROE_CLOSE , False,Increases the ROE and Trailing to the values below to not to close the Position fast when we riding pump/dump
Additional non core functions,PDP_ROE_NRC , 200,Increased values for function above
Additional non core functions,PDP_ROE_LIMIT_NRC , 50,Increased values for function above
Additional non core functions,NO_MARKET_ORDERS , False,Don’t close at market when we trail position
Additional non core functions,RB_FORCE_CLOSE , False,One time function to close position at loss using RebatesBuster
Additional non core functions,NO_STUCK , False,"Ifgnored next values if enabled and just closed at any loss when triggered:  PDP_UPNL_LIMIT 
PDP_SLOW_LIMIT 
PPP_SIDE_UPNL_LIMIT 
PPP_UPNL_LIMIT "
Additional non core functions,TT_LOCK , 0.5,Effective only on BinanceFutures - Don’t allow to post LONG orders when position is SHORT and vice versa if ROE between 0 and this TT_LOCK
Additional non core functions,ISL_LIQ_IGNORE , 5,"Ignore the Liquidation Spread untill this wallet allocation % reached. Effective on KrakenFutured, never use it on bitmex and only with low leverage on binance Futures. To disable set 0"
Additional non core functions,GRID , False,"If enabled Only GRID - ised mixed MM+GRID mode called ""MODE 2"", if Disabled - ARS uses old good MM only mode called ""MODE 1)"
Additional non core functions,x125 , False,"Dont effective alone. If set with GRID will enabled Gunthars Beast mode (using MM and GRID same time with leverage 125),called ""MODE 3"""
Additional non core functions,NO_SIDE_LOCK , False,Don’t block position on side market when Unrealised PNL is 0.5% (by default it does to be able to close with small loss if we exit side market against PPP index)
Additional non core functions,TRADE_SIDE_LOCK ," ""None""",You could force lock ARS to only once side trading 4ever (always LONG or always SHORT)
Additional non core functions,STATS_DTIME ,24,
Additional non core functions,BEAST_SPREAD ,0.2,Default MM_SPREAD for Beast x125 Mode
Additional non core functions,MM_SPREAD ,0,Default MM_SPREAD for MM
SL - Stop Loss ,STOP_LOSS , False,Stop Loss Switch
SL - Stop Loss ,SL_LIMIT ,90,Stop Loss limit (how much % loss of your wallet it should close position at)
PTM - Profit Trailing Manager,PTRAIL ,5,Daily Target
PTM - Profit Trailing Manager,PLIMIT ,2,Trail step
PTM - Profit Trailing Manager,PTSTOP , False,Enable Stop trading if PNL reached/lost
SLR - Short/Long ROE separation,ROE_DELIM , False,Switch
SLR - Short/Long ROE separation,ROE_S ,0,ROE for Short positions
SLR - Short/Long ROE separation,ROE_L ,0,ROE for Long positions

